Thread ID: 2148405680
Total: 0.017664

 %self     total     self     wait    child    calls  name
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Routing::RouteSet#extract_request_environment
  0.04      0.00     0.00     0.00     0.00        4  NilClass#nil?
  0.04      0.00     0.00     0.00     0.00        6  <Class::Thread>#critical=
  0.03      0.00     0.00     0.00     0.00        1  ActionController::StringCoercion::UglyBody#each
  0.03      0.00     0.00     0.00     0.00        1  ActionController::UrlRewriter#initialize
  0.03      0.00     0.00     0.00     0.00        1  Exception#set_backtrace
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Integration::ControllerCapture::ClassMethods#clear_last_instantiation!
  0.03      0.01     0.00     0.00     0.01        1  ActionController::Failsafe#call
  0.03      0.00     0.00     0.00     0.00        3  Array#+
  0.03      0.00     0.00     0.00     0.00        1  Object#blank?
  0.03      0.00     0.00     0.00     0.00        1  Rack::Request#parse_multipart
  0.03      0.00     0.00     0.00     0.00        2  Kernel#initialize_copy
  0.03      0.00     0.00     0.00     0.00        2  StringIO#initialize
  0.03      0.00     0.00     0.00     0.00        3  Kernel#block_given?
  0.03      0.00     0.00     0.00     0.00        1  <Class::Time>#now
  0.03      0.00     0.00     0.00     0.00        2  String#<<
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Response#sending_file?
  0.03      0.00     0.00     0.00     0.00        1  Kernel#tap
  0.03      0.00     0.00     0.00     0.00        1  <Class::Exception>#exception
  0.03      0.00     0.00     0.00     0.00        2  <Class::String>#allocate
  0.03      0.00     0.00     0.00     0.00        1  Exception#initialize
  0.03      0.00     0.00     0.00     0.00        3  <Class::Array>#allocate
  0.03      0.00     0.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::ConnectionPool#checkin
  0.03      0.00     0.00     0.00     0.00        2  String#strip
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Dispatcher#flush_logger
  0.03      0.00     0.00     0.00     0.00        1  <Class::Mime::Type>#lookup
  0.03      0.00     0.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::QueryCache#clear_query_cache
  0.03      0.00     0.00     0.00     0.00        1  <Class::ActiveRecord::Base>#connection
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Response#convert_content_type!
  0.03      0.00     0.00     0.00     0.00        1  Regexp#initialize
  0.03      0.02     0.00     0.00     0.02        1  BrowsingTest#test_homepage
  0.03      0.00     0.00     0.00     0.00        1  ActionView::Template::EagerPath#load!
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Base#performed?
